figure_id,image_path,nearest_heading,existing_caption,proposed_caption,needs_manual_review
fig_0001,assets/앞표지.png,,,수동 작성 필요,yes
fig_0002,assets/images/structuring_power_01.png,1) 잘게 쪼개기,,1) 잘게 쪼개기 관련 이미지,yes
fig_0003,assets/images/structuring_power_02.png,2) 상황별 재배치,,2) 상황별 재배치 관련 이미지,yes
fig_0004,assets/images/structuring_power_03.png,3) 설명하며 정리하기,,3) 설명하며 정리하기 관련 이미지,yes
fig_0005,assets/images/anki_01.png,5. Anki는 구조 관리 도구,,5. Anki는 구조 관리 도구 관련 이미지,yes
fig_0006,assets/images/anki_02.png,1) 카드를 만드는 기준,,1) 카드를 만드는 기준 관련 이미지,yes
fig_0007,assets/images/haos_01.png,1) 구조를 코드로 옮기다,,1) 구조를 코드로 옮기다 관련 이미지,yes
fig_0008,assets/images/haos_02.png,3) 보안과 안정성,,3) 보안과 안정성 관련 이미지,yes
fig_0009,assets/images/openclaw_01.png,"1) 기능을 만드는 게 아니라, 운영 구조를 만든다",,"1) 기능을 만드는 게 아니라, 운영 구조를 만든다 관련 이미지",yes
fig_0010,assets/images/openclaw_02.png,2) 모델은 성능이 아니라 역할이다,,2) 모델은 성능이 아니라 역할이다 관련 이미지,yes
fig_0011,assets/images/openclaw_03.png,3) 구현은 사고를 밖으로 꺼내는 일,,3) 구현은 사고를 밖으로 꺼내는 일 관련 이미지,yes
fig_0012,assets/images/modeling_probabilistic_01.png,1) 수치를 감각에서 분리하다 — VoiceGrape,,1) 수치를 감각에서 분리하다 — VoiceGrape 관련 이미지,yes
fig_0013,assets/images/modeling_probabilistic_02.png,2) 농도를 시간 위에 올리다 — EstroFrame,,2) 농도를 시간 위에 올리다 — EstroFrame 관련 이미지,yes
fig_0014,assets/images/voicegrape_01.png,1) 음성을 신호로 해석하다,,1) 음성을 신호로 해석하다 관련 이미지,yes
fig_0015,assets/images/voicegrape_02.png,3) 시간-주파수 공간으로 확장하다,,3) 시간-주파수 공간으로 확장하다 관련 이미지,yes
fig_0016,assets/images/neuroframe_01.png,1) 일정이 아니라 상태를 기록하다,,1) 일정이 아니라 상태를 기록하다 관련 이미지,yes
fig_0017,assets/images/neuroframe_02.png,2) 패턴을 보는 순간 판단이 바뀐다,,2) 패턴을 보는 순간 판단이 바뀐다 관련 이미지,yes
fig_0018,assets/images/neuroframe_03.png,3) 코칭은 개입이다,,3) 코칭은 개입이다 관련 이미지,yes
